22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,23,19,19,19,19,19,19,19,19,19,21,22,22,22,22
23,19,19,50,19,50,19,19,19,19,50,19,21,22,22,22
19,19,19,19,19,19,19,19,19,19,19,19,19,21,22,22
19,19,19,50,19,50,19,19,19,19,50,19,19,19,22,22
19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,54
15,19,19,50,19,50,19,19,19,19,50,19,19,19,22,54
22,15,19,19,19,19,19,19,19,19,19,19,19,13,14,54
22,22,14,14,14,14,52,19,19,19,13,14,14,22,22,22
54,54,54,54,54,54,54,19,19,19,22,22,22,22,22,22
