22,22,22,22,22,22,22,22,22,22,22,54,54,54,22,22
22,22,22,22,22,22,22,54,22,22,22,54,54,54,22,22
19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,22
19,19,19,64,64,64,64,19,19,19,19,19,19,19,19,21
19,19,19,19,19,19,19,19,64,64,64,19,19,19,19,19
19,19,19,64,64,64,64,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,64,64,64,19,19,19,19,19
19,19,19,64,64,64,64,19,19,19,19,19,19,19,19,51
19,19,19,19,19,19,19,19,19,19,19,19,19,19,51,22
14,14,14,14,14,14,14,14,14,14,14,52,19,19,22,22
54,54,54,54,54,54,54,22,22,22,22,22,19,19,22,22
