22,22,22,22,19,77,77,22,22,22,22,22,22,22,22,22
22,22,54,23,19,77,77,21,22,22,22,22,22,22,22,22
54,23,19,19,19,77,77,19,19,19,19,19,19,19,19,19
54,19,19,19,19,77,77,19,50,19,19,19,50,19,19,19
54,19,19,19,19,77,77,19,19,19,50,19,19,19,19,19
54,19,19,50,19,77,77,19,50,19,19,19,50,19,19,19
54,19,19,19,19,77,77,19,19,19,50,19,19,19,19,19
54,19,19,19,19,77,77,19,50,19,19,19,50,19,19,19
54,52,19,19,19,77,77,19,19,19,19,19,19,19,19,19
22,22,14,14,15,77,77,51,14,14,14,14,14,14,14,14
54,54,54,54,54,77,77,54,22,22,22,22,22,22,22,22
