22,22,22,22,22,22,22,22,22,22,22,22,19,19,22,22
22,22,22,22,22,22,22,22,22,22,22,23,19,19,22,22
19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22
19,19,19,19,19,19,19,19,50,19,19,19,19,19,21,22
19,19,19,19,19,19,19,19,19,19,50,19,19,19,19,21
19,19,50,19,19,50,19,19,50,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,50,19,19,19,19,51
19,19,19,19,19,19,19,19,50,19,19,19,19,19,51,22
19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22
22,22,14,14,14,14,14,14,14,14,14,14,14,14,22,22
54,54,54,54,54,54,54,22,22,22,22,22,22,22,22,22
