77,77,77,77,77,77,77,77,80,77,77,77,77,77,77,77
77,77,77,77,77,77,77,77,80,77,77,77,77,77,77,77
77,77,77,77,77,77,77,77,80,77,77,77,77,77,77,77
77,77,77,77,77,77,77,77,80,77,77,77,77,77,77,77
85,85,85,85,77,77,77,77,80,85,85,85,85,85,85,85
14,14,19,19,87,77,77,30,19,19,19,19,19,19,14,14
54,54,19,19,19,77,77,19,19,19,19,19,19,19,54,54
54,54,19,19,19,77,77,19,19,19,19,19,19,19,54,54
54,54,19,19,19,77,77,19,19,19,19,19,19,19,54,54
54,54,19,19,19,77,77,19,19,19,14,19,14,19,54,54
22,22,19,19,19,77,77,19,19,19,54,19,54,19,54,54
